CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
MotManCo, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbMQAW|||North American|SE||||Active|99.18B|
Blessings Developers, Inc.||||0011I00000cJXbNQAW|||North American|NE||||Inactive||
TEKMAK Development Company|Franchisee(F),Owner(F)|||0011I00000cJXbOQAW|||North American|SoCent||||Active|99.729|
East Coast Realty Ventures||||0011I00000cJXbPQAW|||North American|MidAtl||||Inactive||
Copper Hospitality Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbQQAW|||North American|West||||Active|99.718|
Coakley & Williams Hotel Management Company||||0011I00000cJXbRQAW|||North American|MidAtl||||Inactive||
InfiniPower Hospitality Group|Franchisee(F),Owner(F)|||0011I00000cJXbSQAW|||North American|West||||Active|99.562|
NOI Hospitality|Franchisee(F),Owner(F)|||0011I00000cJXbTQAW|||North American|MidAtl||||Active|99.203|
High Cotton Ventures, LLC|Franchisee(F),Owner(F)|||0011I00000cJXbUQAW|||North American|SoCent||||Active|99.8U9|
KVNR Inc.|Owner(F),Franchisee(F)|||0011I00000cJXbVQAW|||North American|MidAtl||||Active|99.1W7|
Pika Management|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbWQAW|||North American|SoCent||||Active|99.39A|
Anadventure II||||0011I00000cJXWZQA4|||North American|NE||||Inactive||
Ferguson Hotel Development|Franchisee(F),Owner(F)|||0011I00000cJXWaQAO|||North American|MW||||Active|99.196|
FFC Capital Corporation||||0011I00000cJXWbQAO|||North American|MidAtl||||Inactive||
Gulph Creek Development|Franchisee(F),Owner(F)|||0011I00000cJXWcQAO|||North American|MidAtl||||Active|99.64C|
Ballard Management, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWdQAO|||North American|West||||Active|99.493|
Hospitality Group Management, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWeQAO|||North American|MidAtl||||Active|99.229|
American Hospitality Services Corp.||||0011I00000cJXWfQAO|||North American|SoCent||||Inactive||
Finvarb Hospitality|Owner(M)|||0011I00000cJXWgQAO|||North American|SE||||Active|98.228|
First Carolina Management|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWhQAO|||North American|MidAtl||||Active|99.198|
H and S Properties Development Corp.|Franchisee(F),Owner(F)|||0011I00000cJXWiQAO|||North American|MidAtl||||Active|99.687|
Hospitality Partners|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWjQAO|||North American|MidAtl||||Active|99.230|
Service Properties Trust  CY-53||||0011I00000cJXWkQAO|||North American|NE||||Inactive||
Service Properties Trust  234||||0011I00000cJXWlQAO|||North American|NE||||Inactive||
Hospitality Properties Trust II-IV||||0011I00000cJXWmQAO|||North American|NE||||Inactive||
Intrawest|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWnQAO|||North American|West||||Active|99.40P|
First Hospitality Company, LLC|Franchisee(F),Owner(F)|||0011I00000cJXWoQAO|||North American|MW||||Active|99.199|
First Hospitality Group, Inc.|Franchisee(F),Owner(F),Manager(F)|||0011I00000cJXWpQAO|||North American|MW||||Active|99.200|
HGP Corporation|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWqQAO|||North American|SoCent||||Active|99.223|
Hospitality Specialists, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWrQAO|||North American|MW||||Active|99.231|
Hospitality Ventures, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWsQAO|||North American|SE||||Active|99.489|
Milestone Development|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWtQAO|||North American|MidAtl||||Active|99.461|
Andrus Enterprises|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWuQAO|||North American|SoCent||||Active|99.113|
Florida Lodging Development, LLC||||0011I00000cJXWvQAO|||North American|SE||||Inactive||
Alexandria Hotels Joint Venture|Major Investor(M)|||0011I00000cJXWwQAO|||North American|SE||||Active|98.115|
Ford Motor Land Development|Owner(M)|||0011I00000cJXWxQAO|||North American|MW||||Active|98.237|
Janko Hospitality|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWyQAO|||North American|MW||||Active|99.44A|
Jefferson-Pilot Investments||||0011I00000cJXWzQAO|||North American|West||||Inactive||
J-P Properties|Franchisee(F),Owner(F)|||0011I00000cJXX0QAO|||North American|MW||||Active|99.627|
JBG Companies|Owner(M)|||0011I00000cJXX1QAO|||North American|MidAtl||||Active|98.293|
Auro Hotels|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXX2QAO|||North American|MidAtl||||Active|99.255|
Fowler Hospitality, L.L.C.||||0011I00000cJXX3QAO|||North American|MidAtl||||Inactive||
Hostmark Hospitality Group|Manager(F)|||0011I00000cJXX4QAO|||North American|MW||||Active|99.958|
Hotel Group (The)|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXX5QAO|||North American|West||||Active|99.511|
JHS Associates, LLC|Manager(F)|||0011I00000cJXX6QAO|||North American|West||||Active|99.256|
JMF Partnership|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXX7QAO|||North American|SoCent||||Active|99.486|
JMI Realty, Inc.|Franchisee(F),Owner(F)|||0011I00000cJXX8QAO|||North American|SoCent||||Active|99.42A|
G. Holdings|Franchisee(F),Owner(F)|||0011I00000cJXX9QAO|||North American|NE||||Active|99.205|
Hampshire Hospitality Group (The)|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXXAQA4|||North American|NE||||Active|99.087|
Hanford Hotels|Franchisee(F),Owner(F)|||0011I00000cJXXBQA4|||North American|West||||Active|99.216|
BPR Properties|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXXCQA4|||North American|MidAtl||||Active|99.568|
Hansen and Hansen||||0011I00000cJXXDQA4|||North American|West||||Inactive||
Jackson-Shaw Company|Franchisee(F),Owner(F)|||0011I00000cJXXEQA4|||North American|SoCent||||Active|99.693|
Hawkeye Hotels|Franchisee(F),Owner(F),Manager(F)|||0011I00000cJXXFQA4|||North American|MW||||Active|99.254|
Jala Corporation, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXXGQA4|||North American|MW||||Active|99.117|
GE Medical Technology Services|Owner(M)|||0011I00000cJXXHQA4|||North American|MW||||Active|98.238|
