prop_id,prop_nm,MARSHA_TXT,PROP_STATUS_TXT,OPS_REGION_TXT,NALO_INTL_TXT,brand_txt,hotel_type_txt,OWNER_TYPE_TXT,DUD_DIVISION_CD,DUD_UNIT_CD,DUD_DEPT_CD,PEOPLESOFT_ID_DIVISION,PEOPLESOFT_ID_UNIT,PEOPLESOFT_ID_DEPT,PROP_MGR_TXT,PROP_OWNER_TXT,PROP_FRAN_TXT,PROP_AM_TXT
a1W1I000000aXROUA2,Fairfield Inn & Suites Denver West/Golden,,Pre-Opening,West,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJXcPQAW,0011I00000cJWUzQAO,0011I00000cJWUzQAO,
a1W1I000000aXS2UAM,TownePlace Suites By Marriott Amarillo West/Medical Center,AMATS,Open,West,NALO,TownePlace Suites By Marriott,MSB,F,,,,,,,0011I00000cJXexQAG,0011I00000cJXexQAG,0011I00000cJXexQAG,
a1W1I000000aXS3UAM,Moxy Miami South Beach,MIAOX,Open,East,NALO,MOXY Hotels,MSB,F,,,,,,,0011I00000cJXnbQAG,0011I00000cJXgmQAG,0011I00000cJXgmQAG,
a1W1I000000aXSeUAM,Fairfield Inn & Suites Fair Oaks Farms,RNZFI,Open,West,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJXWpQAO,0011I00000cJWW1QAO,0011I00000cJWW1QAO,
a1W1I000000aXTCUA2,TownePlace Suites By Marriott Twin Falls,TWFTS,Open,West,NALO,TownePlace Suites By Marriott,MSB,F,,,,,,,0011I00000cJXq7QAG,0011I00000cJXq7QAG,0011I00000cJXq7QAG,
a1W1I000000aXTYUA2,Le Méridien Atlanta Perimeter,ATLLM,Open,East,NALO,Le Méridien,FS,F,,,,,,,0011I00000cJXtdQAG,0011I00000cJXu8QAG,0011I00000cJXu8QAG,
a1W1I000000aXTZUA2,Le Méridien Indianapolis,INDMD,Open,West,NALO,Le Méridien,FS,F,,,,,,,0011I00000cJXqOQAW,0011I00000cJXoEQAW,0011I00000cJXoEQAW,
a1W1I000000aXU6UAM,Residence Inn By Marriott Tampa Wesley Chapel,TPARH,Pre-Opening,East,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXfbQAG,0011I00000cJXfbQAG,0011I00000cJXfbQAG,
a1W1I000000aXU7UAM,Residence Inn By Marriott Sioux Falls Downtown,,Pre-Opening,West,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXadQAG,0011I00000cJXadQAG,0011I00000cJXadQAG,
a1W1I000000aXLGUA2,Residence Inn By Marriott Birmingham Southeast,,Pre-Opening,East,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXucQAG,0011I00000cJXucQAG,0011I00000cJXucQAG,
